set,path,label,xmin,ymin,xmax,ymax
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.082853151e6e93c7ee0a0c4aaf441a0f.jpg,CubeRed,0.615384615,0.427884615,0.716346154,0.533653846
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.082853151e6e93c7ee0a0c4aaf441a0f.jpg,CubeYellow,0.492788462,0.432692308,0.576923077,0.543269231
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.082853151e6e93c7ee0a0c4aaf441a0f.jpg,CubeYellow,0.367788462,0.432692308,0.456730769,0.545673077
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.082853151e6e93c7ee0a0c4aaf441a0f.jpg,CubeRed,0.245192308,0.439903846,0.334134615,0.548076923
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.082853151e6e93c7ee0a0c4aaf441a0f.jpg,CubeRed,0.240384615,0.663461538,0.341346154,0.786057692
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.082853151e6e93c7ee0a0c4aaf441a0f.jpg,CubeBlue,0.735576923,0.168269231,0.848557692,0.276442308
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.082853151e6e93c7ee0a0c4aaf441a0f.jpg,CubeYellow,0.617788462,0.175480769,0.713942308,0.28125
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.082853151e6e93c7ee0a0c4aaf441a0f.jpg,CubeBlue,0.492788462,0.182692308,0.581730769,0.288461538
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.082853151e6e93c7ee0a0c4aaf441a0f.jpg,CubeBlue,0.360576923,0.185096154,0.454326923,0.293269231
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.082853151e6e93c7ee0a0c4aaf441a0f.jpg,CubeBlue,0.223557692,0.192307692,0.329326923,0.298076923
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.17064d88eaaafdb3ff8266a71be9031b.jpg,CubeRed,0.627403846,0.377403846,0.742788462,0.504807692
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.17064d88eaaafdb3ff8266a71be9031b.jpg,CubeYellow,0.490384615,0.394230769,0.588942308,0.519230769
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.17064d88eaaafdb3ff8266a71be9031b.jpg,CubeYellow,0.350961538,0.396634615,0.451923077,0.526442308
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.17064d88eaaafdb3ff8266a71be9031b.jpg,CubeRed,0.206730769,0.413461538,0.319711538,0.53125
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.17064d88eaaafdb3ff8266a71be9031b.jpg,CubeRed,0.204326923,0.65625,0.324519231,0.802884615
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.17064d88eaaafdb3ff8266a71be9031b.jpg,CubeBlue,0.759615385,0.084134615,0.896634615,0.206730769
